,1 Gas,19 Gas
0,2585.9958525891816,3978.676696724786
1,2334.609747063332,3464.330790659736
2,2572.199881862871,3792.932864341694
3,2390.622372123118,3068.537733664822
4,2434.8957058672604,3411.548355449371
5,2777.4484127067335,3536.946588412615
6,2746.1008748243003,3882.659633640949
7,2759.2384201622845,4053.2931473760054
8,2323.1972629126285,2907.8980844509824
9,2664.355273811205,2931.785336788232
10,2578.2898130052636,2658.891432647738
11,1830.275674868968,2057.612677684442
12,1766.7634515155805,2358.3072671950863
13,1568.3852664391343,2431.6955328181816
14,1843.8976626042968,3335.3237599810072
15,1484.1806682137212,3094.701344253144
16,1336.9353896207067,2987.0560727480647
17,1728.3884259713595,3704.290792082461
18,1439.4751837212534,3010.898761687734
19,1169.7642611089686,3070.386910138516
20,1037.17861096247,2970.769639015044
21,1161.7195283374567,3131.8494588548538
22,887.4720825541153,2694.374168700896
23,925.0337020524712,2358.710704275484
