name,bus_id,fuel,unit_type,fuel_price,active_power,active_power_limits_max,active_power_limits_min,reactive_power_limits_max,reactive_power_limits_min,min_down_time,min_up_time,base_mva,heat_rate_avg_0,output_point_0
Gas_0,0,NATURAL_GAS,GT,8,2854.2,2854.2,0,3425.04,-3425.04,1,3,100,0.1,1
Gas_1,1,NATURAL_GAS,GT,8,2519.844552,4027.95,0,4833.54,-4833.54,1,3,100,0.1,1
Gas_2,2,NATURAL_GAS,GT,8,10.6,687.5,0,825,-825,1,3,100,0.1,1
Gas_3,3,NATURAL_GAS,GT,8,1632.5,1632.5,0,1959,-1959,1,3,100,0.1,1
Gas_4,4,NATURAL_GAS,GT,8,1702.44,1702.44,0,2042.928,-2042.928,1,3,100,0.1,1
Gas_5,5,NATURAL_GAS,GT,8,345.2,2135.8,0,2562.96,-2562.96,1,3,100,0.1,1
Gas_6,6,NATURAL_GAS,GT,8,432.3,432.3,0,518.76,-518.76,1,3,100,0.1,1
Gas_7,7,NATURAL_GAS,GT,8,154.7,154.7,0,185.64,-185.64,1,3,100,0.1,1
Gas_8,8,NATURAL_GAS,GT,8,2329.7,2329.7,0,2795.64,-2795.64,1,3,100,0.1,1
Gas_9,9,NATURAL_GAS,GT,8,4246.6,4246.6,0,5095.92,-5095.92,1,3,100,0.1,1
Gas_10,10,NATURAL_GAS,GT,8,1355.6,1355.6,0,1626.72,-1626.72,1,3,100,0.1,1
Gas_11,11,NATURAL_GAS,GT,8,1019.9,1019.9,0,1223.88,-1223.88,1,3,100,0.1,1
Gas_12,12,NATURAL_GAS,GT,8,52.8,318.4,0,382.08,-382.08,1,3,100,0.1,1
Gas_13,13,NATURAL_GAS,GT,8,1015.54,1015.54,0,1218.648,-1218.648,1,3,100,0.1,1
Hard Coal_0,0,COAL,ST,25,0,3490.9,0,4189.08,-4189.08,1,3,100,0.1,1
Hard Coal_1,1,COAL,ST,25,0,127.5,0,153,-153,1,3,100,0.1,1
Hard Coal_2,2,COAL,ST,25,0,529.2,0,635.04,-635.04,1,3,100,0.1,1
Hard Coal_3,3,COAL,ST,25,0,1906.3,0,2287.56,-2287.56,1,3,100,0.1,1
Hard Coal_4,4,COAL,ST,25,0,5780.3,0,6936.36,-6936.36,1,3,100,0.1,1
Hard Coal_5,5,COAL,ST,25,0,777,0,932.4,-932.4,1,3,100,0.1,1
Hard Coal_6,6,COAL,ST,25,0,1690,0,2028,-2028,1,3,100,0.1,1
Hard Coal_7,7,COAL,ST,25,0,18.5,0,22.2,-22.2,1,3,100,0.1,1
Hard Coal_8,8,COAL,ST,25,0,805,0,966,-966,1,3,100,0.1,1
Hard Coal_9,9,COAL,ST,25,0,4832.5,0,5799,-5799,1,3,100,0.1,1
Hard Coal_10,10,COAL,ST,25,0,17.4,0,20.88,-20.88,1,3,100,0.1,1
Hard Coal_11,11,COAL,ST,25,0,2597,0,3116.4,-3116.4,1,3,100,0.1,1
Hard Coal_12,12,COAL,ST,25,0,508,0,609.6,-609.6,1,3,100,0.1,1
Hard Coal_13,13,COAL,ST,25,0,2233,0,2679.6,-2679.6,1,3,100,0.1,1
Run of River_0,0,HYDROROR,HA,3,257.4,257.4,0,308.88,-308.88,1,3,100,0.1,1
Run of River_1,1,HYDROROR,HA,3,164.5,164.5,0,197.4,-197.4,1,3,100,0.1,1
Run of River_2,2,HYDROROR,HA,3,910.4,910.4,0,1092.48,-1092.48,1,3,100,0.1,1
Run of River_3,3,HYDROROR,HA,3,23.5,23.5,0,28.2,-28.2,1,3,100,0.1,1
Run of River_4,4,HYDROROR,HA,3,150.2,150.2,0,180.24,-180.24,1,3,100,0.1,1
Run of River_5,5,HYDROROR,HA,3,31.7,31.7,0,38.04,-38.04,1,3,100,0.1,1
Run of River_6,6,HYDROROR,HA,3,374.8,374.8,0,449.76,-449.76,1,3,100,0.1,1
Run of River_7,7,HYDROROR,HA,3,265.9,265.9,0,319.08,-319.08,1,3,100,0.1,1
Run of River_8,8,HYDROROR,HA,3,1091,1091,0,1309.2,-1309.2,1,3,100,0.1,1
Run of River_9,9,HYDROROR,HA,3,379.5,379.5,0,455.4,-455.4,1,3,100,0.1,1
Run of River_10,10,HYDROROR,HA,3,89,89,0,106.8,-106.8,1,3,100,0.1,1
Run of River_11,11,HYDROROR,HA,3,203.3,203.3,0,243.96,-243.96,1,3,100,0.1,1
Run of River_12,12,HYDROROR,HA,3,48,48,0,57.6,-57.6,1,3,100,0.1,1
Run of River_13,13,HYDROROR,HA,3,9.9,9.9,0,11.88,-11.88,1,3,100,0.1,1
Waste_0,0,MUNICIPAL_WASTE,ST,6,400,400,0,480,-480,1,3,100,0.1,1
Waste_1,1,MUNICIPAL_WASTE,ST,6,239.8,239.8,0,287.76,-287.76,1,3,100,0.1,1
Waste_2,2,MUNICIPAL_WASTE,ST,6,21,21,0,25.2,-25.2,1,3,100,0.1,1
Waste_3,3,MUNICIPAL_WASTE,ST,6,85.9,85.9,0,103.08,-103.08,1,3,100,0.1,1
Waste_4,4,MUNICIPAL_WASTE,ST,6,261,261,0,313.2,-313.2,1,3,100,0.1,1
Waste_5,5,MUNICIPAL_WASTE,ST,6,178.6,178.6,0,214.32,-214.32,1,3,100,0.1,1
Waste_6,6,MUNICIPAL_WASTE,ST,6,40.4,40.4,0,48.48,-48.48,1,3,100,0.1,1
Waste_7,7,MUNICIPAL_WASTE,ST,6,13.6,13.6,0,16.32,-16.32,1,3,100,0.1,1
Waste_8,8,MUNICIPAL_WASTE,ST,6,141,141,0,169.2,-169.2,1,3,100,0.1,1
Waste_9,9,MUNICIPAL_WASTE,ST,6,27.2,27.2,0,32.64,-32.64,1,3,100,0.1,1
Waste_10,10,MUNICIPAL_WASTE,ST,6,74.3,74.3,0,89.16,-89.16,1,3,100,0.1,1
Waste_11,11,MUNICIPAL_WASTE,ST,6,55.1,55.1,0,66.12,-66.12,1,3,100,0.1,1
Waste_12,12,MUNICIPAL_WASTE,ST,6,17,17,0,20.4,-20.4,1,3,100,0.1,1
Waste_13,13,MUNICIPAL_WASTE,ST,6,91,91,0,109.2,-109.2,1,3,100,0.1,1
Brown Coal_0,0,COAL,ST,10,0,10444.1,0,12532.92,-12532.92,1,3,100,0.1,1
Brown Coal_1,1,COAL,ST,10,0,2470.1,0,2964.12,-2964.12,1,3,100,0.1,1
Brown Coal_2,2,COAL,ST,10,0,875,0,1050,-1050,1,3,100,0.1,1
Brown Coal_3,3,COAL,ST,10,0,33.5,0,40.2,-40.2,1,3,100,0.1,1
Brown Coal_4,4,COAL,ST,10,0,0,0,0,0,1,3,100,0.1,1
Brown Coal_5,5,COAL,ST,10,0,4928,0,5913.6,-5913.6,1,3,100,0.1,1
Brown Coal_6,6,COAL,ST,10,0,750,0,900,-900,1,3,100,0.1,1
Brown Coal_7,7,COAL,ST,10,0,465,0,558,-558,1,3,100,0.1,1
Brown Coal_8,8,COAL,ST,10,0,0,0,0,0,1,3,100,0.1,1
Brown Coal_9,9,COAL,ST,10,0,857,0,1028.4,-1028.4,1,3,100,0.1,1
Brown Coal_10,10,COAL,ST,10,0,0,0,0,0,1,3,100,0.1,1
Brown Coal_11,11,COAL,ST,10,0,56.8,0,68.16,-68.16,1,3,100,0.1,1
Brown Coal_12,12,COAL,ST,10,0,0,0,0,0,1,3,100,0.1,1
Brown Coal_13,13,COAL,ST,10,0,0,0,0,0,1,3,100,0.1,1
Oil_0,0,RESIDUAL_FUEL_OIL,ST,100,0,297.3,0,356.76,-356.76,1,3,100,0.1,1
Oil_1,1,RESIDUAL_FUEL_OIL,ST,100,0,248,0,297.6,-297.6,1,3,100,0.1,1
Oil_2,2,RESIDUAL_FUEL_OIL,ST,100,0,57.3,0,68.76,-68.76,1,3,100,0.1,1
Oil_3,3,RESIDUAL_FUEL_OIL,ST,100,0,250.6,0,300.72,-300.72,1,3,100,0.1,1
Oil_4,4,RESIDUAL_FUEL_OIL,ST,100,0,276.4,0,331.68,-331.68,1,3,100,0.1,1
Oil_5,5,RESIDUAL_FUEL_OIL,ST,100,0,660.5,0,792.6,-792.6,1,3,100,0.1,1
Oil_6,6,RESIDUAL_FUEL_OIL,ST,100,0,612.5,0,735,-735,1,3,100,0.1,1
Oil_7,7,RESIDUAL_FUEL_OIL,ST,100,0,0,0,0,0,1,3,100,0.1,1
Oil_8,8,RESIDUAL_FUEL_OIL,ST,100,0,138.8,0,166.56,-166.56,1,3,100,0.1,1
Oil_9,9,RESIDUAL_FUEL_OIL,ST,100,0,0,0,0,0,1,3,100,0.1,1
Oil_10,10,RESIDUAL_FUEL_OIL,ST,100,0,24.8,0,29.76,-29.76,1,3,100,0.1,1
Oil_11,11,RESIDUAL_FUEL_OIL,ST,100,0,0,0,0,0,1,3,100,0.1,1
Oil_12,12,RESIDUAL_FUEL_OIL,ST,100,0,0,0,0,0,1,3,100,0.1,1
Oil_13,13,RESIDUAL_FUEL_OIL,ST,100,0,144,0,172.8,-172.8,1,3,100,0.1,1
Other_0,0,OTHER,OT,32,0,1444.8,0,1733.76,-1733.76,1,3,100,0.1,1
Other_1,1,OTHER,OT,32,0,42.7,0,51.24,-51.24,1,3,100,0.1,1
Other_2,2,OTHER,OT,32,0,6,0,7.2,-7.2,1,3,100,0.1,1
Other_3,3,OTHER,OT,32,0,372.5,0,447,-447,1,3,100,0.1,1
Other_4,4,OTHER,OT,32,0,176.1,0,211.32,-211.32,1,3,100,0.1,1
Other_5,5,OTHER,OT,32,0,124.5,0,149.4,-149.4,1,3,100,0.1,1
Other_6,6,OTHER,OT,32,0,70.6,0,84.72,-84.72,1,3,100,0.1,1
Other_7,7,OTHER,OT,32,0,19.7,0,23.64,-23.64,1,3,100,0.1,1
Other_8,8,OTHER,OT,32,0,23.3,0,27.96,-27.96,1,3,100,0.1,1
Other_9,9,OTHER,OT,32,0,412.6,0,495.12,-495.12,1,3,100,0.1,1
Other_10,10,OTHER,OT,32,0,0,0,0,0,1,3,100,0.1,1
Other_11,11,OTHER,OT,32,0,185,0,222,-222,1,3,100,0.1,1
Other_12,12,OTHER,OT,32,0,0,0,0,0,1,3,100,0.1,1
Other_13,13,OTHER,OT,32,0,150,0,180,-180,1,3,100,0.1,1
Multiple_0,0,OTHER,OT,28,0,120,0,144,-144,1,3,100,0.1,1
Multiple_1,1,OTHER,OT,28,0,0,0,0,0,1,3,100,0.1,1
Multiple_2,2,OTHER,OT,28,0,0,0,0,0,1,3,100,0.1,1
Multiple_3,3,OTHER,OT,28,0,0,0,0,0,1,3,100,0.1,1
Multiple_4,4,OTHER,OT,28,0,0,0,0,0,1,3,100,0.1,1
Multiple_5,5,OTHER,OT,28,0,0,0,0,0,1,3,100,0.1,1
Multiple_6,6,OTHER,OT,28,0,0,0,0,0,1,3,100,0.1,1
Multiple_7,7,OTHER,OT,28,0,0,0,0,0,1,3,100,0.1,1
Multiple_8,8,OTHER,OT,28,0,0,0,0,0,1,3,100,0.1,1
Multiple_9,9,OTHER,OT,28,0,0,0,0,0,1,3,100,0.1,1
Multiple_10,10,OTHER,OT,28,0,0,0,0,0,1,3,100,0.1,1
Multiple_11,11,OTHER,OT,28,0,0,0,0,0,1,3,100,0.1,1
Multiple_12,12,OTHER,OT,28,0,32.7,0,39.24,-39.24,1,3,100,0.1,1
Multiple_13,13,OTHER,OT,28,0,0,0,0,0,1,3,100,0.1,1
Nuclear_0,0,NUCLEAR,ST,80,0,0,0,0,0,1,3,100,0.1,1
Nuclear_1,1,NUCLEAR,ST,80,0,1360,0,1632,-1632,1,3,100,0.1,1
Nuclear_2,2,NUCLEAR,ST,80,0,2572,0,3086.4,-3086.4,1,3,100,0.1,1
Nuclear_3,3,NUCLEAR,ST,80,0,0,0,0,0,1,3,100,0.1,1
Nuclear_4,4,NUCLEAR,ST,80,0,2712,0,3254.4,-3254.4,1,3,100,0.1,1
Nuclear_5,5,NUCLEAR,ST,80,0,0,0,0,0,1,3,100,0.1,1
Nuclear_6,6,NUCLEAR,ST,80,0,1410,0,1692,-1692,1,3,100,0.1,1
Nuclear_7,7,NUCLEAR,ST,80,0,0,0,0,0,1,3,100,0.1,1
Nuclear_8,8,NUCLEAR,ST,80,0,1410,0,1692,-1692,1,3,100,0.1,1
Nuclear_9,9,NUCLEAR,ST,80,0,1329,0,1594.8,-1594.8,1,3,100,0.1,1
Nuclear_10,10,NUCLEAR,ST,80,0,1275,0,1530,-1530,1,3,100,0.1,1
Nuclear_11,11,NUCLEAR,ST,80,0,0,0,0,0,1,3,100,0.1,1
Nuclear_12,12,NUCLEAR,ST,80,0,0,0,0,0,1,3,100,0.1,1
Nuclear_13,13,NUCLEAR,ST,80,0,0,0,0,0,1,3,100,0.1,1
Geothermal_0,0,GEOTHERMAL,ST,26,0,0,0,0,0,1,3,100,0.1,1
Geothermal_1,1,GEOTHERMAL,ST,26,0,0,0,0,0,1,3,100,0.1,1
Geothermal_2,2,GEOTHERMAL,ST,26,0,0,0,0,0,1,3,100,0.1,1
Geothermal_3,3,GEOTHERMAL,ST,26,0,0.6,0,0.72,-0.72,1,3,100,0.1,1
Geothermal_4,4,GEOTHERMAL,ST,26,0,0,0,0,0,1,3,100,0.1,1
Geothermal_5,5,GEOTHERMAL,ST,26,0,23.1,0,27.72,-27.72,1,3,100,0.1,1
Geothermal_6,6,GEOTHERMAL,ST,26,0,0,0,0,0,1,3,100,0.1,1
Geothermal_7,7,GEOTHERMAL,ST,26,0,0,0,0,0,1,3,100,0.1,1
Geothermal_8,8,GEOTHERMAL,ST,26,0,0,0,0,0,1,3,100,0.1,1
Geothermal_9,9,GEOTHERMAL,ST,26,0,0,0,0,0,1,3,100,0.1,1
Geothermal_10,10,GEOTHERMAL,ST,26,0,0,0,0,0,1,3,100,0.1,1
Geothermal_11,11,GEOTHERMAL,ST,26,0,0,0,0,0,1,3,100,0.1,1
Geothermal_12,12,GEOTHERMAL,ST,26,0,0,0,0,0,1,3,100,0.1,1
Geothermal_13,13,GEOTHERMAL,ST,26,0,8,0,9.6,-9.6,1,3,100,0.1,1
Wind Offshore_0,0,WINDOS,WS,0,0,0,0,0,0,1,3,100,0.1,1
Wind Offshore_1,1,WINDOS,WS,0,0,0,0,0,0,1,3,100,0.1,1
Wind Offshore_2,2,WINDOS,WS,0,0,0,0,0,0,1,3,100,0.1,1
Wind Offshore_4,4,WINDOS,WS,0,0,0,0,0,0,1,3,100,0.1,1
Wind Offshore_5,5,WINDOS,WS,0,0,0,0,0,0,1,3,100,0.1,1
Wind Offshore_6,6,WINDOS,WS,0,1447.199962,1447.2,0,1736.64,-1736.64,1,3,100,0.1,1
Wind Offshore_7,7,WINDOS,WS,0,0,0,0,0,0,1,3,100,0.1,1
Wind Offshore_8,8,WINDOS,WS,0,0,0,0,0,0,1,3,100,0.1,1
Wind Offshore_9,9,WINDOS,WS,0,0,0,0,0,0,1,3,100,0.1,1
Wind Offshore_10,10,WINDOS,WS,0,0,0,0,0,0,1,3,100,0.1,1
Wind Offshore_11,11,WINDOS,WS,0,0,0,0,0,0,1,3,100,0.1,1
Wind Offshore_12,12,WINDOS,WS,0,48.299999,48.3,0,57.96,-57.96,1,3,100,0.1,1
Wind Offshore_13,13,WINDOS,WS,0,1477.559857,1478,0,1773.6,-1773.6,1,3,100,0.1,1
Wind Onshore_0,0,WINDOF,WT,0,201.6479737,1355.858276,0,1627.029932,-1627.029932,1,3,100,0.1,1
Wind Onshore_1,1,WINDOF,WT,0,3123.443551,5861.736882,0,7034.084258,-7034.084258,1,3,100,0.1,1
Wind Onshore_2,2,WINDOF,WT,0,2.401744834,418.0681864,0,501.6818237,-501.6818237,1,3,100,0.1,1
Wind Onshore_4,4,WINDOF,WT,0,3.386877367,1307.953466,0,1569.544159,-1569.544159,1,3,100,0.1,1
Wind Onshore_5,5,WINDOF,WT,0,4081.117519,5235.767396,0,6282.920875,-6282.920875,1,3,100,0.1,1
Wind Onshore_6,6,WINDOF,WT,0,6225.528142,6393.866939,0,7672.640327,-7672.640327,1,3,100,0.1,1
Wind Onshore_7,7,WINDOF,WT,0,0.030643639,164.6836717,0,197.620406,-197.620406,1,3,100,0.1,1
Wind Onshore_8,8,WINDOF,WT,0,1.097972198,198.9279792,0,238.713575,-238.713575,1,3,100,0.1,1
Wind Onshore_9,9,WINDOF,WT,0,582.0332657,2157.874508,0,2589.449409,-2589.449409,1,3,100,0.1,1
Wind Onshore_10,10,WINDOF,WT,0,93.79630981,1462.252122,0,1754.702546,-1754.702546,1,3,100,0.1,1
Wind Onshore_11,11,WINDOF,WT,0,0.438778817,2495.960919,0,2995.153102,-2995.153102,1,3,100,0.1,1
Wind Onshore_12,12,WINDOF,WT,0,3639.765695,3714.100181,0,4456.920217,-4456.920217,1,3,100,0.1,1
Wind Onshore_13,13,WINDOF,WT,0,2537.823893,3348.211138,0,4017.853365,-4017.853365,1,3,100,0.1,1
Solar_0,0,SOLAR,PV,0,0,1800.676127,0,2160.811352,-2160.811352,1,3,100,0.1,1
Solar_1,1,SOLAR,PV,0,0,3292.448589,0,3950.938306,-3950.938306,1,3,100,0.1,1
Solar_2,2,SOLAR,PV,0,0,4274.383436,0,5129.260123,-5129.260123,1,3,100,0.1,1
Solar_4,4,SOLAR,PV,0,0,3691.026697,0,4429.232036,-4429.232036,1,3,100,0.1,1
Solar_5,5,SOLAR,PV,0,0,3198.411099,0,3838.093319,-3838.093319,1,3,100,0.1,1
Solar_6,6,SOLAR,PV,0,0,1935.525966,0,2322.631159,-2322.631159,1,3,100,0.1,1
Solar_7,7,SOLAR,PV,0,0,1327.216719,0,1592.660063,-1592.660063,1,3,100,0.1,1
Solar_8,8,SOLAR,PV,0,0,5365.182226,0,6438.218671,-6438.218671,1,3,100,0.1,1
Solar_9,9,SOLAR,PV,0,0,2180.925245,0,2617.110293,-2617.110293,1,3,100,0.1,1
Solar_10,10,SOLAR,PV,0,0,3056.287848,0,3667.545418,-3667.545418,1,3,100,0.1,1
Solar_11,11,SOLAR,PV,0,0,1693.251478,0,2031.901774,-2031.901774,1,3,100,0.1,1
Solar_12,12,SOLAR,PV,0,0,1408.113862,0,1689.736634,-1689.736634,1,3,100,0.1,1
Solar_13,13,SOLAR,PV,0,0,1606.19124,0,1927.429488,-1927.429488,1,3,100,0.1,1
