name,bus0,bus1,length,num_parallel,s_nom,s_max_pu
1,0,10,222.06004769000032,4.75,8128.514439929999,1.0
2,0,5,188.43475264413237,1.75,2994.7158462879997,1.0
3,0,6,141.60416192194216,11.0,13960.32950902,0.9999999999999999
4,0,8,204.0821047378767,5.0,6124.531655567999,1.0000000000000002
5,1,13,165.06489578117564,5.25,6552.348205038999,1.0000000000000002
6,1,4,142.42702367268765,4.0,4413.265457689,1.0
7,1,9,171.44487380652913,1.5,1350.999629904,1.0
8,10,13,119.4148220893639,5.5,6372.214921049999,1.0
9,10,4,268.70066181067597,2.0,990.73306193,1.0
10,10,5,215.9308417602822,1.75,2994.7158462899997,1.0
11,10,6,200.85869394335106,1.0,1711.26619788,1.0
12,11,3,167.83601320602028,4.0,6845.06479152,1.0
13,11,6,86.15251765184418,20.0,23282.226955362992,1.0000000000000004
14,12,6,165.04501567042078,3.0,3917.898926725,1.0
15,12,8,133.97216474377137,1.5,1958.94946336,1.0
16,13,3,159.60161510589532,7.0,7723.214550954999,1.0
17,13,9,154.90946117996003,7.75,9614.614032824,0.9999999999999998
18,2,5,183.68139552001216,10.25,17540.47852827,0.9999999999999999
19,2,7,202.74426036347396,1.75,1778.816179375,1.0
20,4,5,259.8170818440708,3.75,5809.298408590999,1.0
21,5,7,319.4587884167024,3.5,3557.63235875,1.0
22,7,8,191.45214794137516,2.0,3422.53239576,1.0
