name,bus,p_nom,carrier,marginal_cost,max_hours,efficiency_store,efficiency_dispatch,build_year,state_of_charge_initial,p_nom_opt
100_220kV Pumped Hydro,100_220kV,144.5,Pumped Hydro,3.0,6.0,0.95,0.95,0,0.0,144.5
114 Pumped Hydro,114,138.0,Pumped Hydro,3.0,6.0,0.95,0.95,0,0.0,138.0
121 Pumped Hydro,121,238.0,Pumped Hydro,3.0,6.0,0.95,0.95,0,0.0,238.0
140 Pumped Hydro,140,100.0,Pumped Hydro,3.0,6.0,0.95,0.95,0,0.0,100.0
141 Pumped Hydro,141,100.0,Pumped Hydro,3.0,6.0,0.95,0.95,0,0.0,100.0
158 Pumped Hydro,158,100.0,Pumped Hydro,3.0,6.0,0.95,0.95,0,0.0,100.0
166 Pumped Hydro,166,1.5,Pumped Hydro,3.0,6.0,0.95,0.95,0,0.0,1.5
205 Pumped Hydro,205,153.0,Pumped Hydro,3.0,6.0,0.95,0.95,0,0.0,153.0
228 Pumped Hydro,228,100.0,Pumped Hydro,3.0,6.0,0.95,0.95,0,0.0,100.0
235 Pumped Hydro,235,470.0,Pumped Hydro,3.0,6.0,0.95,0.95,0,0.0,470.0
25 Pumped Hydro,25,196.0,Pumped Hydro,3.0,6.0,0.95,0.95,0,0.0,196.0
266 Pumped Hydro,266,98.8,Pumped Hydro,3.0,6.0,0.95,0.95,0,0.0,98.8
268 Pumped Hydro,268,100.0,Pumped Hydro,3.0,6.0,0.95,0.95,0,0.0,100.0
279_220kV Pumped Hydro,279_220kV,1045.2,Pumped Hydro,3.0,6.0,0.95,0.95,0,0.0,1045.2
293 Pumped Hydro,293,377.6,Pumped Hydro,3.0,6.0,0.95,0.95,0,0.0,377.6
320 Pumped Hydro,320,90.0,Pumped Hydro,3.0,6.0,0.95,0.95,0,0.0,90.0
32_220kV Pumped Hydro,32_220kV,220.0,Pumped Hydro,3.0,6.0,0.95,0.95,0,0.0,220.0
333 Pumped Hydro,333,525.0,Pumped Hydro,3.0,6.0,0.95,0.95,0,0.0,525.0
342 Pumped Hydro,342,79.7,Pumped Hydro,3.0,6.0,0.95,0.95,0,0.0,79.7
343 Pumped Hydro,343,1052.0,Pumped Hydro,3.0,6.0,0.95,0.95,0,0.0,1052.0
362_220kV Pumped Hydro,362_220kV,100.0,Pumped Hydro,3.0,6.0,0.95,0.95,0,0.0,100.0
368 Pumped Hydro,368,910.0,Pumped Hydro,3.0,6.0,0.95,0.95,0,0.0,910.0
374 Pumped Hydro,374,100.0,Pumped Hydro,3.0,6.0,0.95,0.95,0,0.0,100.0
379 Pumped Hydro,379,39.8,Pumped Hydro,3.0,6.0,0.95,0.95,0,0.0,39.8
389 Pumped Hydro,389,164.0,Pumped Hydro,3.0,6.0,0.95,0.95,0,0.0,164.0
397 Pumped Hydro,397,144.5,Pumped Hydro,3.0,6.0,0.95,0.95,0,0.0,144.5
423 Pumped Hydro,423,360.0,Pumped Hydro,3.0,6.0,0.95,0.95,0,0.0,360.0
424 Pumped Hydro,424,295.0,Pumped Hydro,3.0,6.0,0.95,0.95,0,0.0,295.0
479 Pumped Hydro,479,100.0,Pumped Hydro,3.0,6.0,0.95,0.95,0,0.0,100.0
481 Pumped Hydro,481,100.0,Pumped Hydro,3.0,6.0,0.95,0.95,0,73.6842,100.0
493 Pumped Hydro,493,100.0,Pumped Hydro,3.0,6.0,0.95,0.95,0,0.0,100.0
51 Pumped Hydro,51,623.0,Pumped Hydro,3.0,6.0,0.95,0.95,0,0.0,623.0
63 Pumped Hydro,63,43.0,Pumped Hydro,3.0,6.0,0.95,0.95,0,0.0,43.0
66 Pumped Hydro,66,127.0,Pumped Hydro,3.0,6.0,0.95,0.95,0,0.0,127.0
72 Pumped Hydro,72,198.0,Pumped Hydro,3.0,6.0,0.95,0.95,0,0.0,198.0
78_220kV Pumped Hydro,78_220kV,79.8,Pumped Hydro,3.0,6.0,0.95,0.95,0,0.0,79.8
8 Pumped Hydro,8,119.1,Pumped Hydro,3.0,6.0,0.95,0.95,0,0.0,119.1
98 Pumped Hydro,98,247.0,Pumped Hydro,3.0,6.0,0.95,0.95,0,0.0,247.0
