,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,2.342812489,4.093641395,0.773479126,1.664573036,1.469066863,3.3978868,2.654950815,2.811656549,2.95848893,9.875939974,7.208304767,3.927216566,3.689726368,4.886336321
1,2.242780698,3.918853919,0.740453648,1.593500245,1.40634166,3.252806174,2.541591557,2.691606377,2.832169411,9.454263903,6.900529543,3.759534982,3.532184978,4.677702904
2,2.15486629,3.765239381,0.711428722,1.53103688,1.351214695,3.125299937,2.44196411,2.586098523,2.721151648,9.083667701,6.630036772,3.612165562,3.393727415,4.494342364
3,2.102999832,3.674612119,0.69430502,1.494185656,1.318691693,3.050075669,2.383187363,2.523852539,2.655655009,8.865028765,6.470455396,3.525222704,3.312042244,4.386165991
4,2.024110087,3.536766548,0.668259585,1.438134332,1.269223666,2.935658307,2.293786955,2.429175364,2.556033534,8.53247531,6.227729473,3.392981172,3.187797741,4.221627928
5,1.878650782,3.282602702,0.620236221,1.3347852,1.178013018,2.724692105,2.12894777,2.254606716,2.372348435,7.919303162,5.780184051,3.149150222,2.958711958,3.918247658
6,1.879715489,3.284463085,0.620587734,1.335541676,1.178680646,2.726236299,2.130154331,2.255884493,2.37369294,7.923791351,5.783459915,3.150934973,2.960388779,3.920468288
7,1.911099006,3.339300109,0.630948997,1.357839729,1.198359764,2.771753231,2.165719146,2.293548485,2.413323849,8.056086074,5.880019907,3.203542627,3.009815095,3.985923982
8,2.029332223,3.545891287,0.669983672,1.44184467,1.27249822,2.943232207,2.299704848,2.435442555,2.562628014,8.55448881,6.243796806,3.401734949,3.196022152,4.232519587
9,2.16779488,3.787829754,0.715697094,1.540222669,1.359321601,3.144050854,2.456615205,2.601614384,2.73747779,9.138167142,6.669815121,3.633837536,3.414088821,4.52130715
10,2.320048032,4.05386462,0.765963445,1.648398843,1.454792349,3.364870479,2.629153396,2.784336464,2.929742116,9.779978213,7.138263674,3.889056895,3.653874324,4.83885715
11,2.37769433,4.154591107,0.78499536,1.689356655,1.490939615,3.44847751,2.694480044,2.85351895,3.0025375,10.0229816,7.315628311,3.9856884,3.744662241,4.959088369
12,2.346260113,4.099665494,0.774617359,1.66702258,1.471228705,3.402887045,2.658857774,2.815794112,2.962842568,9.890473159,7.218912326,3.932995759,3.695156077,4.89352693
13,2.320808537,4.055193465,0.766214525,1.648939184,1.455269226,3.365973475,2.630015226,2.785249162,2.930702477,9.783184062,7.140603577,3.890331717,3.655072053,4.840443314
14,2.316093405,4.046954623,0.764657825,1.645589072,1.452312589,3.359134905,2.624671885,2.779590436,2.924748237,9.763307795,7.126096179,3.88242782,3.647646129,4.830609098
15,2.396605561,4.187635065,0.791238899,1.702793123,1.502797953,3.475905323,2.715910862,2.8762147,3.026418484,10.1027004,7.373813896,4.017388973,3.774445788,4.998530977
16,2.605845907,4.553244752,0.860319562,1.851458814,1.634002674,3.77937605,2.953028783,3.127328262,3.290645882,10.98473646,8.017599171,4.368134992,4.103981176,5.434937521
17,2.644783776,4.621281641,0.873174893,1.879124249,1.65841877,3.8358494,2.997154435,3.174058384,3.339816379,11.14887595,8.137402198,4.433405877,4.165304941,5.516149109
18,2.603108088,4.548460909,0.859415672,1.849513588,1.632285917,3.775405267,2.949926198,3.12404255,3.287188581,10.9731954,8.009175521,4.363545633,4.099669349,5.429227331
19,2.511492555,4.388379323,0.82916882,1.784420566,1.574838151,3.64253112,2.846104516,3.0140929,3.17149706,10.58699739,7.727295222,4.209972079,3.955382834,5.23814746
20,2.477878222,4.329644352,0.818071054,1.760537514,1.553760194,3.593778736,2.808011668,2.973751661,3.129049092,10.44529885,7.623871516,4.153624948,3.902443178,5.168039019
21,2.50789283,4.382089454,0.827980371,1.781862954,1.572580934,3.637310277,2.842025191,3.009772797,3.16695135,10.57182304,7.716219682,4.203937922,3.94971358,5.230639618
22,2.381395456,4.161058155,0.786217286,1.691986312,1.493260416,3.45384542,2.698674279,2.857960746,3.007211259,10.03858341,7.327015839,3.991892534,3.750491193,4.9668077
23,2.228229697,3.893428675,0.735649638,1.58316173,1.397217416,3.231702201,2.525101893,2.674143428,2.813794499,9.392925316,6.855759402,3.735143389,3.509268415,4.647354303
